,cena,powierzchnia,liczba_pokoi,stan_wykonczenia,balkon_ogrod_taras,czynsz,miejsce_parkingowe,ogrzewanie,lokalizacja
6429,813000,63.23,3,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Białych Brzóz, Prądnik Biały, Prądnik Biały, Kraków, małopolskie"
6430,834844,73.88,4,,,,,miejskie,"ul. Henryka Pachońskiego, Prądnik Biały, Prądnik Biały, Kraków, małopolskie"
6431,970790,50.3,2,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Cieszyńska, Krowodrza, Krowodrza, Kraków, małopolskie"
6432,670000,39.85,2,do wykończenia,,,garaż/miejsce parkingowe,miejskie,"ul. Rydlówka, Bronowice Małe, Bronowice, Kraków, małopolskie"
6433,1450000,52.0,2,do wykończenia,"balkon, taras",,garaż/miejsce parkingowe,,"ul. gen. Tadeusza Kościuszki, Zwierzyniec, Zwierzyniec, Kraków, małopolskie"
6434,2700000,194.0,5,,"balkon, ogródek, taras",,garaż/miejsce parkingowe,,"Prądnik Czerwony, Prądnik Czerwony, Kraków, małopolskie"
6435,946152,92.76,4,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"Mistrzejowice, Mistrzejowice, Kraków, małopolskie"
6436,1440000,80.0,3,do wykończenia,ogródek,500,,gazowe,"ul. Aleksandra Lubomirskiego, Wesoła Zachód, Stare Miasto, Kraków, małopolskie"
6437,962050,67.57,3,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Turniejowa, Wola Duchacka, Podgórze Duchackie, Kraków, małopolskie"
6438,948640,67.57,3,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Turniejowa, Wola Duchacka, Podgórze Duchackie, Kraków, małopolskie"
6439,,63.51,2,,balkon,,,miejskie,"ul. Rydlówka, Ruczaj, Dębniki, Kraków, małopolskie"
6440,,82.64,3,,balkon,,,miejskie,"ul. Rydlówka, Ruczaj, Dębniki, Kraków, małopolskie"
6441,1140161,77.09,4,,balkon,,,miejskie,"ul. Rydlówka, Ruczaj, Dębniki, Kraków, małopolskie"
6442,789990,30.38,1,do wykończenia,balkon,,garaż/miejsce parkingowe,,"Stare Miasto, Stare Miasto, Kraków, małopolskie"
6443,,61.39,3,,balkon,,,miejskie,"ul. Rydlówka, Ruczaj, Dębniki, Kraków, małopolskie"
6444,850000,68.0,3,do zamieszkania,,750,garaż/miejsce parkingowe,miejskie,"Ruczaj, Dębniki, Kraków, małopolskie"
6445,1136785,81.49,3,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Bolesława Czerwieńskiego, Azory, Prądnik Biały, Kraków, małopolskie"
6446,1051792,73.81,3,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Bolesława Czerwieńskiego, Azory, Prądnik Biały, Kraków, małopolskie"
6447,1205982,74.26,4,,balkon,,,miejskie,"ul. Rydlówka, Ruczaj, Dębniki, Kraków, małopolskie"
6448,870769,58.09,3,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Wiarusa, Prądnik Biały, Prądnik Biały, Kraków, małopolskie"
6449,917868,62.44,3,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Wiarusa, Prądnik Biały, Prądnik Biały, Kraków, małopolskie"
6450,903507,62.44,3,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Wiarusa, Prądnik Biały, Prądnik Biały, Kraków, małopolskie"
6451,897263,62.44,3,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Wiarusa, Prądnik Biały, Prądnik Biały, Kraków, małopolskie"
6452,889770,62.44,3,do wykończenia,"taras, ogródek",,garaż/miejsce parkingowe,,"ul. Wiarusa, Prądnik Biały, Prądnik Biały, Kraków, małopolskie"
6453,869064,59.12,3,do wykończenia,,,garaż/miejsce parkingowe,,"ul. Wiarusa, Prądnik Biały, Prądnik Biały, Kraków, małopolskie"
6454,941094,64.68,3,do wykończenia,,,garaż/miejsce parkingowe,,"ul. Wiarusa, Prądnik Biały, Prądnik Biały, Kraków, małopolskie"
6455,956071,65.35,3,do wykończenia,taras,,garaż/miejsce parkingowe,,"ul. Wiarusa, Prądnik Biały, Prądnik Biały, Kraków, małopolskie"
