,cena,powierzchnia,liczba_pokoi,stan_wykonczenia,balkon_ogrod_taras,czynsz,miejsce_parkingowe,ogrzewanie,lokalizacja
0,756438,54.42,3,do wykończenia,balkon,,garaż/miejsce parkingowe,gazowe,"ul. Tuchowska, Kurdwanów, Podgórze Duchackie, Kraków, małopolskie"
1,860688,61.92,3,do wykończenia,balkon,,garaż/miejsce parkingowe,gazowe,"ul. Tuchowska, Kurdwanów, Podgórze Duchackie, Kraków, małopolskie"
2,1228482,88.38,3,do wykończenia,balkon,,garaż/miejsce parkingowe,gazowe,"ul. Tuchowska, Kurdwanów, Podgórze Duchackie, Kraków, małopolskie"
3,865000,85.22,4,do wykończenia,balkon,,garaż/miejsce parkingowe,inne,"ul. Mała Góra, Bieżanów, Bieżanów-Prokocim, Kraków, małopolskie"
4,439000,31.73,1,do remontu,,330,,miejskie,"Nowa Huta, Nowa Huta, Kraków, małopolskie"
5,795000,54.3,3,,,,,,"ul. Na Błonie, Bronowice, Bronowice, Kraków, małopolskie"
6,1475000,67.5,2,do zamieszkania,balkon,,,,"ul. Celna, Stare Podgórze, Podgórze, Kraków, małopolskie"
7,605038,37.58,2,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"os. Bohaterów Września, Mistrzejowice, Mistrzejowice, Kraków, małopolskie"
8,795375,63.63,3,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"os. Bohaterów Września, Mistrzejowice, Mistrzejowice, Kraków, małopolskie"
9,616317,41.93,2,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"os. Bohaterów Września, Mistrzejowice, Mistrzejowice, Kraków, małopolskie"
10,,71.92,3,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Józefa Wybickiego 5, Krowodrza Górka, Prądnik Biały, Kraków, małopolskie"
11,595000,61.98,3,do wykończenia,balkon,,,,"ul. Kantorowicka, Zesławice, Wzgórza Krzesławickie, Kraków, małopolskie"
12,616465,44.35,2,do zamieszkania,"balkon, ogródek",300,garaż/miejsce parkingowe,gazowe,"ul. Marcina Bielskiego, Prokocim, Bieżanów-Prokocim, Kraków, małopolskie"
13,845000,50.0,1,do zamieszkania,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Pilotów 81, Rakowice, Prądnik Czerwony, Kraków, małopolskie"
14,1372000,84.63,4,,balkon,,garaż/miejsce parkingowe,,"Bronowice, Bronowice, Kraków, małopolskie"
15,1385000,83.06,4,,"balkon, ogródek",,garaż/miejsce parkingowe,,"Bronowice, Bronowice, Kraków, małopolskie"
16,899000,63.0,3,do zamieszkania,,,,miejskie,"Krowodrza, Krowodrza, Kraków, małopolskie"
17,457000,46.92,3,do zamieszkania,balkon,460,garaż/miejsce parkingowe,inne,"Jaworowa, Wieliczka, Wieliczka, wielicki, małopolskie"
18,680000,44.7,2,do wykończenia,balkon,480,garaż/miejsce parkingowe,miejskie,"ul. Lipska, Płaszów, Podgórze, Kraków, małopolskie"
19,899560,52.3,3,do wykończenia,"balkon, ogródek, taras",550,garaż/miejsce parkingowe,inne,"ul. Królowej Jadwigi, Wola Justowska, Zwierzyniec, Kraków, małopolskie"
20,859000,70.01,4,do wykończenia,balkon,700,garaż/miejsce parkingowe,miejskie,"ul. Józefa Rzebika, Płaszów, Podgórze, Kraków, małopolskie"
21,499000,31.95,1,do wykończenia,balkon,350,garaż/miejsce parkingowe,miejskie,"ul. Henryka Pachońskiego, Prądnik Biały, Prądnik Biały, Kraków, małopolskie"
22,1150000,61.0,3,do wykończenia,"balkon, taras",600,garaż/miejsce parkingowe,inne,"ul. Zarzecze, Bronowice, Bronowice, Kraków, małopolskie"
23,3890000,96.96,4,do zamieszkania,balkon,,,miejskie,"ul. Studencka, Piasek, Stare Miasto, Kraków, małopolskie"
24,135000,14.8,1,,,,,,"ul. Jana Kiepury 14, Bieżanów, Bieżanów-Prokocim, Kraków, małopolskie"
25,135000,13.1,1,,,100,garaż/miejsce parkingowe,kotłownia,"ul. Juliusza Kadena-Bandrowskiego 5, Wola Duchacka, Podgórze Duchackie, Kraków, małopolskie"
26,680000,45.0,2,do zamieszkania,balkon,,,miejskie,"ul. ks. Józefa Kurzei, Mistrzejowice, Mistrzejowice, Kraków, małopolskie"
27,2358000,131.0,3,,balkon,320,,,"ul. Bonerowska, Wesoła Zachód, Stare Miasto, Kraków, małopolskie"
28,2200000,142.0,5,do wykończenia,"balkon, taras",,garaż/miejsce parkingowe,miejskie,"ul. Śliczna, Rakowice, Prądnik Czerwony, Kraków, małopolskie"
29,449000,35.0,1,do zamieszkania,balkon,550,,miejskie,"ul. Wincentego Witosa, Wola Duchacka, Podgórze Duchackie, Kraków, małopolskie"
30,549000,30.0,2,do zamieszkania,balkon,450,,miejskie,"os. Tysiąclecia 59, os. Oświecenia, Miśnieńska, ks. Kazimierza Jancarza, Wiślicka, Dobrego Pasterza, Mistrzejowice, Mistrzejowice, Kraków, małopolskie"
31,2195000,87.53,3,do zamieszkania,"balkon, ogródek",,garaż/miejsce parkingowe,gazowe,"ul. Vlastimila Hofmana, Zwierzyniec, Zwierzyniec, Kraków, małopolskie"
32,1100000,82.88,4,do remontu,balkon,469,garaż/miejsce parkingowe,miejskie,"ul. Senatorska, Zwierzyniec, Zwierzyniec, Kraków, małopolskie"
33,1650000,95.4,4,do wykończenia,"balkon, ogródek",,garaż/miejsce parkingowe,gazowe,"ul. Mieczysława Owcy-Orwicza, Zwierzyniec, Zwierzyniec, Kraków, małopolskie"
34,309000,31.8,2,do wykończenia,,,,kotłownia,"ul. Fatimska, Bieńczyce, Bieńczyce, Kraków, małopolskie"
35,714000,47.43,2,do zamieszkania,"balkon, taras",600,garaż/miejsce parkingowe,kotłownia,"ul. Malwowa, Wola Duchacka, Podgórze Duchackie, Kraków, małopolskie"
36,650000,45.39,2,do zamieszkania,,550,,miejskie,"os. Centrum B A, Nowa Huta, Nowa Huta, Kraków, małopolskie"
37,1438000,121.05,5,do wykończenia,taras,,garaż/miejsce parkingowe,,"ul. Władysława Łokietka, Tonie, Prądnik Biały, Kraków, małopolskie"
38,1049716,61.03,3,,,,garaż/miejsce parkingowe,miejskie,"Bronowice, Bronowice, Kraków, małopolskie"
39,760158,60.33,3,do wykończenia,,,garaż/miejsce parkingowe,,"os. Bohaterów Września, Mistrzejowice, Mistrzejowice, Kraków, małopolskie"
40,621396,37.89,2,do wykończenia,,,garaż/miejsce parkingowe,,"os. Bohaterów Września, Mistrzejowice, Mistrzejowice, Kraków, małopolskie"
41,189000,15.9,1,,balkon,100,garaż/miejsce parkingowe,kotłownia,"ul. Grębałowska 68, Grębałów, Wzgórza Krzesławickie, Kraków, małopolskie"
42,586080,36.63,2,do wykończenia,,,garaż/miejsce parkingowe,,"os. Bohaterów Września, Mistrzejowice, Mistrzejowice, Kraków, małopolskie"
43,649000,46.1,2,do zamieszkania,balkon,550,garaż/miejsce parkingowe,miejskie,"ul. Zalesie, Ruczaj, Dębniki, Kraków, małopolskie"
44,1599000,165.0,5,do remontu,,,,,"Kazimierz, Stare Miasto, Kraków, małopolskie"
45,299000,24.3,1,do wykończenia,,100,garaż/miejsce parkingowe,kotłownia,"ul. Stefana Otwinowskiego, Osiedle Oficerskie, Grzegórzki, Kraków, małopolskie"
46,695000,44.04,2,do zamieszkania,balkon,580,garaż/miejsce parkingowe,miejskie,"ul. dr. Jana Piltza, Kobierzyn, Dębniki, Kraków, małopolskie"
47,945000,70.71,3,do wykończenia,ogródek,,garaż/miejsce parkingowe,gazowe,"ul. Piaskowa, Bronowice Wielkie, Prądnik Biały, Kraków, małopolskie"
48,749000,50.1,2,do zamieszkania,balkon,,,miejskie,"ul. Gliniana, Płaszów, Podgórze, Kraków, małopolskie"
49,,58.88,2,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. św. Sebastiana, Stradom, Stare Miasto, Kraków, małopolskie"
50,940000,67.32,3,,,750,,miejskie,"ul. Leopolda Staffa, Łobzów, Krowodrza, Kraków, małopolskie"
51,2550000,130.0,3,do zamieszkania,,1100,,miejskie,"ul. Gazowa, Kazimierz, Stare Miasto, Kraków, małopolskie"
52,1650000,92.0,3,do zamieszkania,"ogródek, taras",,garaż/miejsce parkingowe,gazowe,"ul. 28 Lipca 1943 1943, Wola Justowska, Zwierzyniec, Kraków, małopolskie"
53,159000,15.3,1,do wykończenia,,100,,kotłownia,"ul. Powały z Taczewa, Piaski Wielkie, Podgórze Duchackie, Kraków, małopolskie"
54,420000,36.0,1,do remontu,,490,,miejskie,"os. Szkolne, Nowa Huta, Nowa Huta, Kraków, małopolskie"
55,650000,54.0,2,do zamieszkania,,600,,miejskie,"Nowa Huta, Nowa Huta, Kraków, małopolskie"
56,870000,58.2,3,do zamieszkania,balkon,750,,miejskie,"ul. Żwirki i Wigury, Rakowice, Prądnik Czerwony, Kraków, małopolskie"
57,789000,64.0,3,do zamieszkania,balkon,760,,,"Nowa Huta, Nowa Huta, Kraków, małopolskie"
58,205000,21.8,1,do wykończenia,,100,,kotłownia,"ul. Juliusza Kadena-Bandrowskiego, Wola Duchacka, Podgórze Duchackie, Kraków, małopolskie"
59,941562,92.31,4,do wykończenia,,,garaż/miejsce parkingowe,,"os. Bohaterów Września, Mistrzejowice, Mistrzejowice, Kraków, małopolskie"
60,757316,63.64,3,do wykończenia,,,garaż/miejsce parkingowe,,"os. Bohaterów Września, Mistrzejowice, Mistrzejowice, Kraków, małopolskie"
61,625000,43.1,3,do remontu,balkon,700,,miejskie,"ul. Piastowska, Małe Błonia, Krowodrza, Kraków, małopolskie"
62,749000,50.22,3,do zamieszkania,,490,,gazowe,"ul. Kronikarza Galla, Łobzów, Krowodrza, Kraków, małopolskie"
63,1200000,83.5,4,do zamieszkania,"balkon, taras",1000,garaż/miejsce parkingowe,miejskie,"Azory, Prądnik Biały, Kraków, małopolskie"
64,309000,31.8,1,do wykończenia,,,,,"ul. Fatimska 190, Bieżanów, Bieżanów-Prokocim, Kraków, małopolskie"
65,750000,56.0,3,do zamieszkania,balkon,500,garaż/miejsce parkingowe,miejskie,"Azory, Prądnik Biały, Kraków, małopolskie"
66,540000,36.0,1,do zamieszkania,taras,600,,miejskie,"Azory, Prądnik Biały, Kraków, małopolskie"
67,994707,74.79,4,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Jana Sabały, Prądnik Czerwony, Prądnik Czerwony, Kraków, małopolskie"
68,1042470,77.22,3,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Jana Sabały, Prądnik Czerwony, Prądnik Czerwony, Kraków, małopolskie"
69,2193600,137.1,5,do wykończenia,taras,,garaż/miejsce parkingowe,,"ul. Jana Sabały, Prądnik Czerwony, Prądnik Czerwony, Kraków, małopolskie"
70,694638,45.55,2,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Jana Sabały, Prądnik Czerwony, Prądnik Czerwony, Kraków, małopolskie"
71,,64.51,3,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Jerozolimska, Kabel, Podgórze, Kraków, małopolskie"
72,,45.62,2,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Jerozolimska, Kabel, Podgórze, Kraków, małopolskie"
73,,56.86,4,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Bartosza Głowackiego, Bronowice, Bronowice, Kraków, małopolskie"
74,,56.44,3,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Bartosza Głowackiego, Bronowice, Bronowice, Kraków, małopolskie"
75,,37.8,2,do wykończenia,,,garaż/miejsce parkingowe,,"ul. Bartosza Głowackiego, Bronowice, Bronowice, Kraków, małopolskie"
76,2129820,129.08,5,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Cichociemnych AK, Łęg, Czyżyny, Kraków, małopolskie"
77,,59.18,3,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Facimiech, Kozłówka, Bieżanów-Prokocim, Kraków, małopolskie"
78,947905,71.54,4,do wykończenia,"taras, ogródek",,garaż/miejsce parkingowe,,"ul. Wiarusa, Prądnik Biały, Prądnik Biały, Kraków, małopolskie"
79,813138,63.23,3,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Wiarusa, Prądnik Biały, Prądnik Biały, Kraków, małopolskie"
80,458328,29.38,1,do wykończenia,"taras, ogródek",,garaż/miejsce parkingowe,,"ul. Wiarusa, Prądnik Biały, Prądnik Biały, Kraków, małopolskie"
81,574002,40.14,2,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Wiarusa, Prądnik Biały, Prądnik Biały, Kraków, małopolskie"
82,,57.67,3,do wykończenia,balkon,,garaż/miejsce parkingowe,gazowe,"Strumyk/Dolnomłyńska, Czyżyny, Czyżyny, Kraków, małopolskie"
83,,66.72,2,do wykończenia,,,garaż/miejsce parkingowe,gazowe,"Strumyk/Dolnomłyńska, Czyżyny, Czyżyny, Kraków, małopolskie"
84,1111619,77.79,4,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Josepha Conrada, Azory, Prądnik Biały, Kraków, małopolskie"
85,803203,60.12,3,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Josepha Conrada, Azory, Prądnik Biały, Kraków, małopolskie"
86,,86.54,4,do wykończenia,,,garaż/miejsce parkingowe,,"ul. Śliczna, Rakowice, Prądnik Czerwony, Kraków, małopolskie"
87,608386,43.24,2,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Josepha Conrada, Azory, Prądnik Biały, Kraków, małopolskie"
88,,70.61,3,do wykończenia,,,garaż/miejsce parkingowe,,"ul. Śliczna, Rakowice, Prądnik Czerwony, Kraków, małopolskie"
89,773862,76.62,4,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Starego Dębu, Bronowice Wielkie, Prądnik Biały, Kraków, małopolskie"
90,,56.87,3,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Gustawa Morcinka, Zesławice, Wzgórza Krzesławickie, Kraków, małopolskie"
91,,102.33,4,do wykończenia,taras,,garaż/miejsce parkingowe,,"ul. Gustawa Morcinka, Zesławice, Wzgórza Krzesławickie, Kraków, małopolskie"
92,,43.1,2,do wykończenia,ogródek,,garaż/miejsce parkingowe,,"ul. Gustawa Morcinka, Zesławice, Wzgórza Krzesławickie, Kraków, małopolskie"
93,935012,95.36,4,do wykończenia,"taras, balkon",,garaż/miejsce parkingowe,,"ul. Gustawa Morcinka, Zesławice, Wzgórza Krzesławickie, Kraków, małopolskie"
94,569251,49.29,2,do wykończenia,ogródek,,garaż/miejsce parkingowe,,"ul. Gustawa Morcinka, Zesławice, Wzgórza Krzesławickie, Kraków, małopolskie"
95,,161.88,4,do wykończenia,taras,,garaż/miejsce parkingowe,,"ul. Tadeusza Romanowicza, Zabłocie, Podgórze, Kraków, małopolskie"
96,610236,61.64,3,do wykończenia,"taras, ogródek",,garaż/miejsce parkingowe,,"ul. Kantorowicka, Zesławice, Wzgórza Krzesławickie, Kraków, małopolskie"
97,,72.91,4,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. dr. Jana Piltza, Kobierzyn, Dębniki, Kraków, małopolskie"
98,699000,53.8,3,,balkon,500,garaż/miejsce parkingowe,,"ul. Macieja Dębskiego, Opatkowice, Swoszowice, Kraków, małopolskie"
99,1188000,85.52,3,do zamieszkania,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Stańczyka, Bronowice, Bronowice, Kraków, małopolskie"
100,715000,45.0,2,do zamieszkania,"balkon, taras",,,kotłownia,"ul. Kazimierza Wierzyńskiego, Mydlniki, Bronowice, Kraków, małopolskie"
101,468645,47.1,1,,,230,,miejskie,"ul. Lwowska, Stare Podgórze, Podgórze, Kraków, małopolskie"
102,849000,41.3,2,do zamieszkania,balkon,300,garaż/miejsce parkingowe,miejskie,"ul. Piwna 24, Stare Podgórze, Podgórze, Kraków, małopolskie"
103,697000,34.15,1,,balkon,177,,elektryczne,"ul. Zygmunta Augusta, Wesoła Wschód, Grzegórzki, Kraków, małopolskie"
104,138462,14.35,1,,balkon,,,,"os. Niepodległości, Bieńczyce, Bieńczyce, Kraków, małopolskie"
105,1159494,101.71,5,do wykończenia,"balkon, ogródek",,garaż/miejsce parkingowe,,"ul. ks. Stanisława Truszkowskiego, Bronowice Małe, Bronowice, Kraków, małopolskie"
106,904475,78.65,4,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. ks. Stanisława Truszkowskiego, Bronowice Małe, Bronowice, Kraków, małopolskie"
107,515080,31.6,2,do wykończenia,ogródek,,garaż/miejsce parkingowe,,"ul. Piaskowa, Bronowice Wielkie, Prądnik Biały, Kraków, małopolskie"
108,934519,62.1,4,do wykończenia,"ogródek, taras",,garaż/miejsce parkingowe,miejskie,"Stare Podgórze, Podgórze, Kraków, małopolskie"
109,984960,51.3,3,do wykończenia,ogródek,,garaż/miejsce parkingowe,,"ul. Gabrieli Zapolskiej, Bronowice, Bronowice, Kraków, małopolskie"
110,,41.02,2,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"Prądnik Biały, Prądnik Biały, Kraków, małopolskie"
111,1081117,129.84,4,do wykończenia,balkon,400,garaż/miejsce parkingowe,kotłownia,"ul. Kazimierza Wierzyńskiego 53, Mydlniki, Bronowice, Kraków, małopolskie"
112,,56.33,3,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Piotra Borowego, Zwierzyniec, Zwierzyniec, Kraków, małopolskie"
113,1058000,64.07,3,,balkon,,garaż/miejsce parkingowe,,"ul. Józefa Wybickiego, Krowodrza Górka, Prądnik Biały, Kraków, małopolskie"
114,,79.04,4,,"ogródek, taras",,garaż/miejsce parkingowe,,"Grzegórzki, Grzegórzki, Kraków, małopolskie"
115,600192,62.52,3,do wykończenia,balkon,,,,"ul. Kantorowicka, Zesławice, Wzgórza Krzesławickie, Kraków, małopolskie"
116,765919,48.02,2,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Prądnicka 64, Krowodrza Górka, Prądnik Biały, Kraków, małopolskie"
117,747682,50.18,3,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Piaskowa, Bronowice Wielkie, Prądnik Biały, Kraków, małopolskie"
118,1733016,106.32,4,do wykończenia,,,garaż/miejsce parkingowe,,"ul. Republiki Korczakowskiej, Prokocim, Bieżanów-Prokocim, Kraków, małopolskie"
119,,25.39,1,do wykończenia,,,garaż/miejsce parkingowe,,"ul. św. Sebastiana, Stradom, Stare Miasto, Kraków, małopolskie"
120,5522660,212.41,5,do wykończenia,,,garaż/miejsce parkingowe,,"ul. Grzegórzecka, Grzegórzki, Grzegórzki, Kraków, małopolskie"
121,681569,36.44,2,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Walerego Sławka, Wola Duchacka, Podgórze Duchackie, Kraków, małopolskie"
122,1395240,66.44,3,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Grzegórzecka, Grzegórzki, Grzegórzki, Kraków, małopolskie"
123,640288,45.25,2,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. ks. Stanisława Truszkowskiego, Bronowice Małe, Bronowice, Kraków, małopolskie"
124,618344,41.78,2,do wykończenia,,,garaż/miejsce parkingowe,,"ul. Republiki Korczakowskiej, Prokocim, Bieżanów-Prokocim, Kraków, małopolskie"
125,559350,28.25,1,do wykończenia,ogródek,,garaż/miejsce parkingowe,,"ul. Gabrieli Zapolskiej, Bronowice, Bronowice, Kraków, małopolskie"
126,,103.85,3,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. św. Sebastiana, Stradom, Stare Miasto, Kraków, małopolskie"
127,904620,68.84,3,do wykończenia,ogródek,,garaż/miejsce parkingowe,,"ul. ks. Stanisława Truszkowskiego, Bronowice Małe, Bronowice, Kraków, małopolskie"
128,1151970,101.05,5,do wykończenia,,,garaż/miejsce parkingowe,,"os. Bohaterów Września, Mistrzejowice, Mistrzejowice, Kraków, małopolskie"
129,1040376,77.64,4,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Stawowa, Bronowice Wielkie, Prądnik Biały, Kraków, małopolskie"
130,925860,71.22,3,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Ludwika Pasteura, Prądnik Biały, Prądnik Biały, Kraków, małopolskie"
131,1227738,82.12,4,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Walerego Sławka, Wola Duchacka, Podgórze Duchackie, Kraków, małopolskie"
132,820479,58.19,3,do wykończenia,,,garaż/miejsce parkingowe,,"ul. Republiki Korczakowskiej, Prokocim, Bieżanów-Prokocim, Kraków, małopolskie"
133,1168000,89.78,4,do wykończenia,ogródek,,garaż/miejsce parkingowe,,"ul. Władysława Łokietka, Tonie, Prądnik Biały, Kraków, małopolskie"
134,1425816,75.44,4,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Gabrieli Zapolskiej, Bronowice, Bronowice, Kraków, małopolskie"
135,1478540,105.61,5,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Stawowa, Bronowice Wielkie, Prądnik Biały, Kraków, małopolskie"
136,727367,48.17,2,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Stawowa, Bronowice Wielkie, Prądnik Biały, Kraków, małopolskie"
137,1798000,137.4,3,do wykończenia,taras,,garaż/miejsce parkingowe,,"ul. Władysława Łokietka, Tonie, Prądnik Biały, Kraków, małopolskie"
138,773332,54.46,3,do wykończenia,"balkon, taras",580,garaż/miejsce parkingowe,miejskie,"ul. Piasta Kołodzieja, Mistrzejowice, Mistrzejowice, Kraków, małopolskie"
139,649000,42.0,2,do zamieszkania,balkon,450,,miejskie,"ul. Szpakowa, Piaski Wielkie, Podgórze Duchackie, Kraków, małopolskie"
140,699000,53.0,3,do zamieszkania,,,,gazowe,"ul. Janusza Meissnera, Rakowice, Prądnik Czerwony, Kraków, małopolskie"
141,,144.6,4,do wykończenia,taras,,garaż/miejsce parkingowe,,"ul. Tadeusza Romanowicza, Zabłocie, Podgórze, Kraków, małopolskie"
142,813689,54.61,3,do wykończenia,ogródek,,garaż/miejsce parkingowe,,"ul. Stawowa, Bronowice Wielkie, Prądnik Biały, Kraków, małopolskie"
143,1190000,58.0,3,do zamieszkania,balkon,600,garaż/miejsce parkingowe,miejskie,"ul. Stanisława Lema, Czyżyny, Czyżyny, Kraków, małopolskie"
144,834400,47.68,1,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Grzegórzecka, Grzegórzki, Grzegórzki, Kraków, małopolskie"
145,627800,31.39,2,do wykończenia,,,garaż/miejsce parkingowe,,"ul. Gabrieli Zapolskiej, Bronowice, Bronowice, Kraków, małopolskie"
146,522000,21.0,1,do zamieszkania,,150,,elektryczne,"Krowodrza, Krowodrza, Kraków, małopolskie"
147,135000,13.1,1,do wykończenia,,100,,kotłownia,"Brandrowskiego, Wola Duchacka, Podgórze Duchackie, Kraków, małopolskie"
148,1297000,65.6,3,do zamieszkania,,460,,gazowe,"Kazimierz, Stare Miasto, Kraków, małopolskie"
149,590000,41.51,2,,balkon,,,miejskie,"Rakowice, Prądnik Czerwony, Kraków, małopolskie"
150,,56.86,4,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Bartosza Głowackiego, Bronowice, Bronowice, Kraków, małopolskie"
151,,38.53,2,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Bartosza Głowackiego, Bronowice, Bronowice, Kraków, małopolskie"
152,,49.66,3,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Bartosza Głowackiego, Bronowice, Bronowice, Kraków, małopolskie"
153,630000,58.0,4,,balkon,600,,miejskie,"os. Bohaterów Września, Mistrzejowice, Mistrzejowice, Kraków, małopolskie"
154,670000,55.0,3,do zamieszkania,balkon,650,,miejskie,"ul. Konrada Wallenroda, Prokocim, Bieżanów-Prokocim, Kraków, małopolskie"
155,684900,45.66,2,do wykończenia,ogródek,,garaż/miejsce parkingowe,,"ul. Kuźnicy Kołłątajowskiej, Górka Narodowa, Prądnik Biały, Kraków, małopolskie"
156,580000,37.0,1,,,410,,miejskie,"ul. Kazimierza Wielkiego, Nowa Wieś, Krowodrza, Kraków, małopolskie"
157,835000,65.95,3,do zamieszkania,taras,400,garaż/miejsce parkingowe,gazowe,"Tonie, Prądnik Biały, Kraków, małopolskie"
158,1349000,69.1,3,do wykończenia,,,garaż/miejsce parkingowe,,"ul. Emaus, Zwierzyniec, Zwierzyniec, Kraków, małopolskie"
159,573530,34.55,2,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"os. Bohaterów Września, Mistrzejowice, Mistrzejowice, Kraków, małopolskie"
160,602448,36.95,2,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"os. Bohaterów Września, Mistrzejowice, Mistrzejowice, Kraków, małopolskie"
161,945438,92.69,4,do zamieszkania,balkon,,garaż/miejsce parkingowe,miejskie,"os. Bohaterów Września, Mistrzejowice, Mistrzejowice, Kraków, małopolskie"
162,1120000,74.7,3,do zamieszkania,balkon,950,garaż/miejsce parkingowe,gazowe,"ul. Karola Bunscha, Skotniki, Dębniki, Kraków, małopolskie"
163,496032,36.64,1,do wykończenia,,,,,"ul. Kocmyrzowska, Nowa Huta, Nowa Huta, Kraków, małopolskie"
164,469000,33.0,2,do remontu,balkon,380,garaż/miejsce parkingowe,miejskie,"ul. Powstańców 42, Prądnik Czerwony, Prądnik Czerwony, Kraków, małopolskie"
165,499000,30.85,1,,balkon,,garaż/miejsce parkingowe,,"Prądnik Biały, Prądnik Biały, Kraków, małopolskie"
166,699000,50.97,3,do zamieszkania,,600,,miejskie,"ul. Franciszka Bujaka, Kurdwanów, Podgórze Duchackie, Kraków, małopolskie"
167,,73.25,3,do wykończenia,,,garaż/miejsce parkingowe,,"ul. Śliczna, Rakowice, Prądnik Czerwony, Kraków, małopolskie"
168,589000,43.3,3,do remontu,,583,,miejskie,"Bieńczyce, Bieńczyce, Kraków, małopolskie"
169,789000,53.0,2,do zamieszkania,balkon,600,,,"Bieńczyce, Bieńczyce, Kraków, małopolskie"
170,630000,34.81,2,do zamieszkania,balkon,370,garaż/miejsce parkingowe,miejskie,"ul. Nowohucka, Łęg, Czyżyny, Kraków, małopolskie"
171,950000,66.0,3,do zamieszkania,balkon,765,garaż/miejsce parkingowe,miejskie,"ul. Starego Dębu, Bronowice Wielkie, Prądnik Biały, Kraków, małopolskie"
172,789000,40.0,2,,balkon,370,,miejskie,"Grzegórzki, Grzegórzki, Kraków, małopolskie"
173,745000,41.0,2,do zamieszkania,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Stefana Banacha, Górka Narodowa, Prądnik Biały, Kraków, małopolskie"
174,459000,25.32,1,do zamieszkania,balkon,300,,miejskie,"ul. Racławicka, Krowodrza, Krowodrza, Kraków, małopolskie"
175,748000,42.0,2,do wykończenia,balkon,,,miejskie,"ul. św. Wawrzyńca, Kazimierz, Stare Miasto, Kraków, małopolskie"
176,729000,52.1,4,do zamieszkania,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Opolska, Krowodrza Górka, Prądnik Biały, Kraków, małopolskie"
177,637920,39.87,2,,,,,,"Stare Miasto, Stare Miasto, Kraków, małopolskie"
178,570000,40.0,2,do zamieszkania,balkon,,,miejskie,"Prokocim, Bieżanów-Prokocim, Kraków, małopolskie"
179,654000,46.73,3,,"ogródek, taras",,,miejskie,"ul. Lasówka, Płaszów, Podgórze, Kraków, małopolskie"
180,1003057,70.39,4,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Bolesława Czerwieńskiego, Azory, Prądnik Biały, Kraków, małopolskie"
181,960000,64.75,3,do zamieszkania,"balkon, taras",800,,miejskie,"ul. Szuwarowa 4, Ruczaj, Dębniki, Kraków, małopolskie"
